sentence,annotation
"He played a drug lord opposite Dave Chappelle in ""Half Baked"" and stole scenes in Keenen Ivory Wayans' blaxploitation parody film ""I'm Gonna Git You Sucka.""","<Fact_No_Appeal>He played a drug lord opposite Dave Chappelle in ""Half Baked"" and stole scenes in Keenen Ivory Wayans' blaxploitation parody film ""I'm Gonna Git You Sucka.""</Fact_No_Appeal>"
"They tackled the minister, who also serves as Minister for Women and Equalities, on a number of issues, including whether Ms Truss had confidence that a US-UK trade deal would materialise in the near future.","<Fact_No_Appeal>They tackled the minister, who also serves as Minister for Women and Equalities, on a number of issues, including whether Ms Truss had confidence that a US-UK trade deal would materialise in the near future.</Fact_No_Appeal>"
"He also said the government has ""heartlessly repressed its own people's human rights, dignity and fundamental freedoms.""","He also said the government has ""heartlessly repressed its own people's human rights, dignity and fundamental freedoms."""
"Pappas apparently positioned a large piece of metal near the front door of his residence in a way to buttress the door ""against any attempt to force entry into the residence,"" the affidavit said.","<Fact_Appeal:Indirect_Quote>Pappas apparently positioned a large piece of metal near the front door of his residence in a way to buttress the door ""against any attempt to force entry into the residence,""</Fact_Appeal:Indirect_Quote> <Source:Unnamed:Expert_Document>the affidavit </Source:Unnamed:Expert_Document>said."
"""There's a lot going against New Orleans sometimes, and this felt like we can do something that helps so many people in our community in such an important way.","""There's a lot going against New Orleans sometimes, and this felt like we can do something that helps so many people in our community in such an important way."
"""I like the cheese pull because you can see the color of the cheese.","""I like the cheese pull because you can see the color of the cheese."
"""I ran around the office the first week taking pictures of things and sending them to my parents.""","""I ran around the office the first week taking pictures of things and sending them to my parents."""
Ö Katie Hill can be both a victim and perpetrator.,<Fact_No_Appeal>Ö Katie Hill can be both a victim and perpetrator.</Fact_No_Appeal>
"A summary record of that inspection does not explain what was being inspected at the Rockton‐area plant that manufactures lubricants, grease products and other fluids.","<Source:Unnamed:Expert_Document>A summary record of that inspection</Source:Unnamed:Expert_Document> <Fact_Appeal:Indirect_Quote>does not explain what was being inspected at the Rockton‐area plant that manufactures lubricants, grease products and other fluids.</Fact_Appeal:Indirect_Quote>"
"Downing told reporters after the hearing that his client has ""accepted responsibility"" for conduct dating back ""many years,"" and he ""wanted to make sure that his family was able to remain safe and live a good life.""","<Source:Named:Active_Participant>Downing</Source:Named:Active_Participant> told <Recipient>reporters</Recipient> <Appeal_Time>after the hearing</Appeal_Time> that <Fact_Appeal:Direct_Quote>his client has ""accepted responsibility"" for conduct dating back ""many years,"" and he ""wanted to make sure that his family was able to remain safe and live a good life.""</Fact_Appeal:Direct_Quote>"
"Keeping in mind that little bit in the middle, let's take a look at some of the problems with ecovillages that the study found, and other issues the study doesn't address.","Keeping in mind that little bit in the middle, let's take a look at some of the problems with ecovillages that the study found, and other issues the study doesn't address."
"Thus, the conventional PKI standards have problems in terms of cost, operation, and security.","<Fact_No_Appeal>Thus, the conventional PKI standards have problems in terms of cost, operation, and security.</Fact_No_Appeal>"
Boston University said it would have no further statement on its findings.,<Source:Named:Active_Participant>Boston University</Source:Named:Active_Participant> said <Fact_Appeal:Indirect_Quote>it would have no further statement on its findings.</Fact_Appeal:Indirect_Quote>
"""We demonstrate for the first time that foods containing both fat and carbohydrate are more rewarding, calorie for calorie, than those containing only fat or only carbohydrate,"" Small's team wrote in the journal Cell Metabolism","<Fact_Appeal:Direct_Quote>""We demonstrate for the first time that foods containing both fat and carbohydrate are more rewarding, calorie for calorie, than those containing only fat or only carbohydrate,""</Fact_Appeal:Direct_Quote> <Source:Named:Active_Participant>Small's team</Source:Named:Active_Participant> wrote in <Appeal_Location>the journal Cell Metabolism</Appeal_Location>"
"One of the most unusual aspects of the Sun is that its atmosphere gets much hotter the farther it stretches from the star's surface, according to NASA","<Fact_Appeal:Indirect_Quote>One of the most unusual aspects of the Sun is that its atmosphere gets much hotter the farther it stretches from the star's surface,</Fact_Appeal:Indirect_Quote> according to <Source:Named:Expert>NASA</Source:Named:Expert>"
"""That comprehensive vaccination plans have not been developed at the federal level and sent to the states as models is as incomprehensible as it is inexcusable,"" Romney said in a statement issued New Year's Day","<Fact_Appeal:Direct_Quote>""That comprehensive vaccination plans have not been developed at the federal level and sent to the states as models is as incomprehensible as it is inexcusable,""</Fact_Appeal:Direct_Quote> <Source:Named:Official>Romney</Source:Named:Official> said <Appeal_Location>in a statement</Appeal_Location> issued <Appeal_Time>New Year's Day</Appeal_Time>"
Cohen and his attorney did not respond to a request for comment on these new filings either.,<Fact_No_Appeal>Cohen and his attorney did not respond to a request for comment on these new filings either.</Fact_No_Appeal>
"The president's remarks were reported on Thursday and were denounced by lawmakers on both sides of the aisle, including House Speaker Paul Ryan and Rep.","<Fact_No_Appeal>The president's remarks were reported on Thursday and were denounced by lawmakers on both sides of the aisle, including House Speaker Paul Ryan and Rep.</Fact_No_Appeal>"
Campbell is a peace and justice scholar and professor of African American studies and political science at Syracuse University.,<Fact_No_Appeal>Campbell is a peace and justice scholar and professor of African American studies and political science at Syracuse University.</Fact_No_Appeal>
JS: Well -- I mean -- racial resentment as it's used in the scholarly literature really gets down to how how do you explain racial inequality.,JS: Well -- I mean -- racial resentment as it's used in the scholarly literature really gets down to how how do you explain racial inequality.
"'Nobody ever comes here,' said the taxi driver","<Fact_Appeal:Direct_Quote>'Nobody ever comes here,'</Fact_Appeal:Direct_Quote> said <Source:Unnamed:Witness>the taxi driver</Source:Unnamed:Witness>"
"Eight out of 10 black Americans say the president is a racist, and three-quarters of Hispanics agree.","<Fact_No_Appeal>Eight out of 10 black Americans say the president is a racist, and three-quarters of Hispanics agree.</Fact_No_Appeal>"
"But shadow chancellor, Anneliese Dodds criticised the move, saying it will hit consumer confidence.","But <Source_Attribute>shadow chancellor</Source_Attribute>, <Source:Named:Expert>Anneliese Dodds</Source:Named:Expert> criticised the move, saying <Fact_Appeal:Indirect_Quote>it will hit consumer confidence.</Fact_Appeal:Indirect_Quote>"
"Millard had a strained relationship with his own father, the court would later hear.","<Fact_Appeal:Indirect_Quote>Millard had a strained relationship with his own father,</Fact_Appeal:Indirect_Quote> <Source:Unnamed:Official>the court</Source:Unnamed:Official> would later hear."
"The numbers are broadly accurate, but the lack of attention to them is for good reason: Neither president bore responsibility for changes in the federal debt in his opening month in the White House.","<Fact_No_Appeal>The numbers are broadly accurate, but the lack of attention to them is for good reason: Neither president bore responsibility for changes in the federal debt in his opening month in the White House.</Fact_No_Appeal>"
Traffic will be controlled by traffic cones and signage.,<Fact_No_Appeal>Traffic will be controlled by traffic cones and signage.</Fact_No_Appeal>
Le Parfait is known for its iconic glass jars and lids manufactured by O-I France SAS and its affiliates.,<Fact_No_Appeal>Le Parfait is known for its iconic glass jars and lids manufactured by O-I France SAS and its affiliates.</Fact_No_Appeal>
"""The Failing New York Times did something I have never seen done before,"" he tweeted.","<Fact_No_Appeal>""The Failing New York Times did something I have never seen done before,"" he tweeted.</Fact_No_Appeal>"
There are millions of lives that depend on us continuing to do our work.,<Fact_No_Appeal>There are millions of lives that depend on us continuing to do our work.</Fact_No_Appeal>
"To do so, they engage in political advocacy and develop grassroots programs to empower farmers and local communities.","<Fact_No_Appeal>To do so, they engage in political advocacy and develop grassroots programs to empower farmers and local communities.</Fact_No_Appeal>"
"That's why Penrose and Hameroff's proposal is called a theory of ""quantum consciousness"".","<Fact_No_Appeal>That's why Penrose and Hameroff's proposal is called a theory of ""quantum consciousness"".</Fact_No_Appeal>"
The teacher noted that he informed his principal and she will not be subbing for him again (though there's no guarantee she won't sub elsewhere in the District).,<Source:Unnamed:Active_Participant>The teacher</Source:Unnamed:Active_Participant> noted that <Fact_Appeal:Indirect_Quote>he informed his principal and she will not be subbing for him again (though there's no guarantee she won't sub elsewhere in the District).</Fact_Appeal:Indirect_Quote>
"Parker will face ""brutal"" heat and radiation during an epic journey that will take it to within 3.8 million miles of the Sun's surface, according to the space agency.","<Fact_Appeal:Indirect_Quote>Parker will face ""brutal"" heat and radiation during an epic journey that will take it to within 3.8 million miles of the Sun's surface,</Fact_Appeal:Indirect_Quote> according to the <Source:Unnamed:Official>space agency.</Source:Unnamed:Official>"
"The company's revenue rose 35% to $1.05 billion in the third quarter ended Oct. 31, compared with analysts' estimates of $1.02 billion, according to Refinitiv data","<Fact_Appeal:Indirect_Quote>The company's revenue rose 35% to $1.05 billion in the third quarter ended Oct. 31, compared with analysts' estimates of $1.02 billion,</Fact_Appeal:Indirect_Quote> according to <Source:Named:Expert_Document>Refinitiv data</Source:Named:Expert_Document>"
"Alleging that there was an attempt to unseat him from the office and media persons were aiding that agenda, Vijayan said hope would be dashed and he would remain in the office till people of Kerala want him to be.","Alleging that there was an attempt to unseat him from the office and media persons were aiding that agenda, <Source:Named:Active_Participant>Vijayan</Source:Named:Active_Participant> said <Fact_Appeal:Indirect_Quote>hope would be dashed and he would remain in the office till people of Kerala want him to be.</Fact_Appeal:Indirect_Quote>"
"A beluga's gestation period is 14 to 15 months, according to SeaWorld.","<Fact_Appeal:Indirect_Quote>A beluga's gestation period is 14 to 15 months,</Fact_Appeal:Indirect_Quote> according to <Source:Named:Expert>SeaWorld</Source:Named:Expert>."
He said he would wait for directions from the Office of United Nations High Commission on Refugees and the Kenyan government to decided his fate.,<Fact_No_Appeal>He said he would wait for directions from the Office of United Nations High Commission on Refugees and the Kenyan government to decided his fate.</Fact_No_Appeal>
"It does not state how they obtained the list from Upper Deck, only that this is what the company provides to artists who intend to submit sketch cards.","<Fact_No_Appeal>It does not state how they obtained the list from Upper Deck, only that this is what the company provides to artists who intend to submit sketch cards.</Fact_No_Appeal>"
"Giving his annual State of the Nation address Sunday, Hungarian Prime Minister Viktor Orban announced a seven-point ""Family Protection Action Plan"" designed to promote marriage and families.","<Fact_No_Appeal>Giving his annual State of the Nation address Sunday, Hungarian Prime Minister Viktor Orban announced a seven-point ""Family Protection Action Plan"" designed to promote marriage and families.</Fact_No_Appeal>"
"ChuChu has changed over time--it has slowed the pacing of its videos, focused on the key elements of scenes, and made more explicitly educational videos.","<Fact_No_Appeal>ChuChu has changed over time--it has slowed the pacing of its videos, focused on the key elements of scenes, and made more explicitly educational videos.</Fact_No_Appeal>"
Mexico's National Migration Institute reported that 98 migrants were being deported after trying to breach the U.S. border.,<Source:Named:Official>Mexico's National Migration Institute</Source:Named:Official> reported that <Fact_Appeal:Indirect_Quote>98 migrants were being deported after trying to breach the U.S. border.</Fact_Appeal:Indirect_Quote>
Bijan Ghaisar's case has not attracted the same attention as the recent police killings of Black victims like George Floyd and Breonna Taylor.,<Fact_No_Appeal>Bijan Ghaisar's case has not attracted the same attention as the recent police killings of Black victims like George Floyd and Breonna Taylor.</Fact_No_Appeal>
"Stitcher Media remained in the #1 spot on the Top Networks Report with 43.1M Average Weekly Downloads and 10.8M Average Weekly Users, followed by NPR with 31.7M Average Weekly Downloads and 6.6M Average Weekly Users and Audacy Podcast Network with 28.7M Average Weekly Downloads and 7.9M Average Weekly Users.","<Fact_No_Appeal>Stitcher Media remained in the #1 spot on the Top Networks Report with 43.1M Average Weekly Downloads and 10.8M Average Weekly Users, followed by NPR with 31.7M Average Weekly Downloads and 6.6M Average Weekly Users and Audacy Podcast Network with 28.7M Average Weekly Downloads and 7.9M Average Weekly Users.</Fact_No_Appeal>"
This is a very significant decrease.,<Fact_No_Appeal>This is a very significant decrease.</Fact_No_Appeal>
Even making the film was an uphill battle.,<Fact_No_Appeal>Even making the film was an uphill battle.</Fact_No_Appeal>
"On Monday, the North Texas Food Bank will unveil plans to raise a historic $500 million in food and funds with the lofty goal of wiping out hunger in the 13 counties it serves.","<Fact_No_Appeal>On Monday, the North Texas Food Bank will unveil plans to raise a historic $500 million in food and funds with the lofty goal of wiping out hunger in the 13 counties it serves.</Fact_No_Appeal>"
"That is the power of the ""pull pic,"" in which an influencer or food blogger effectively draws your eye to the prize which is usually long, saucy noodles or a melty grilled cheese, like this:
View this post on Instagram A post shared by Gluten Free Food and Travel (@eatgfree) on Feb 26, 2020 at 12:38pm PST
There's an art to snapping the perfect pull shot.","That is the power of the ""pull pic,"" in which an influencer or food blogger effectively draws your eye to the prize which is usually long, saucy noodles or a melty grilled cheese, like this:
View this post on Instagram A post shared by Gluten Free Food and Travel (@eatgfree) on Feb 26, 2020 at 12:38pm PST
There's an art to snapping the perfect pull shot."
PPOA's PCR testing is 24 hour turnaround and sometimes even the same day.,<Fact_No_Appeal>PPOA's PCR testing is 24 hour turnaround and sometimes even the same day.</Fact_No_Appeal>
"A UK newspaper, the Sun, explains how awesome it is to be microchipped.","A UK newspaper, the Sun, explains how awesome it is to be microchipped."
"For a short walk with kids-- easy stroll is from City Hall to Gonzaga and back, that walk will take you past the carousel and the Big Red Wagon, along the river ending at the kennel!","<Fact_No_Appeal>For a short walk with kids-- easy stroll is from City Hall to Gonzaga and back, that walk will take you past the carousel and the Big Red Wagon, along the river ending at the kennel!</Fact_No_Appeal>"
"In 2012, Paddock sued the Cosmopolitan Hotel in Las Vegas for a slip and fall.","<Fact_No_Appeal>In 2012, Paddock sued the Cosmopolitan Hotel in Las Vegas for a slip and fall.</Fact_No_Appeal>"
"You collect the debt,"" Antico said.","You collect the debt,"" Antico said."
"We sent firefighters, food and blood.","<Fact_No_Appeal>We sent firefighters, food and blood.</Fact_No_Appeal>"
"We have the best economy we've ever had,"" Trump said, adding when Wallace asked again, ""We're doing really well.","We have the best economy we've ever had,"" Trump said, adding when Wallace asked again, ""We're doing really well."
"The investment objective of the Fund is to provide a high level of current income, consistent with the preservation of capital in a registered fund format.","<Fact_No_Appeal>The investment objective of the Fund is to provide a high level of current income, consistent with the preservation of capital in a registered fund format.</Fact_No_Appeal>"
"""It's a future problem, but it's also a current problem."" Associated Press Science Writer Seth Borenstein contributed from Washington.","<Fact_Appeal:Direct_Quote>""It's a future problem, but it's also a current problem.""</Fact_Appeal:Direct_Quote> <Source_Attribute>Associated Press Science Writer</Source_Attribute> <Source:Named:Expert>Seth Borenstein</Source:Named:Expert> contributed from <Appeal_Location>Washington</Appeal_Location>."
"""The details of this study have not been peer-reviewed or published yet, so the scientific community simply does not know yet how robust the findings are,"" noted Tara Spires-Jones, deputy director of the Centre for Discovery Brain Sciences at the University of Edinburgh who was not involved in the research.","<Fact_Appeal:Direct_Quote>""The details of this study have not been peer-reviewed or published yet, so the scientific community simply does not know yet how robust the findings are,""</Fact_Appeal:Direct_Quote> noted <Source:Named:Expert>Tara Spires-Jones</Source:Named:Expert>, <Source_Attribute>deputy director of the Centre for Discovery Brain Sciences at the University of Edinburgh</Source_Attribute> who was not involved in the research."
Post Views: 4 Author: Editor We aggregate news from across the web from major media sources that is considered reliable news sources.,Post Views: 4 Author: Editor We aggregate news from across the web from major media sources that is considered reliable news sources.
The Tower Bridge spans the Sacramento River and links West Sacramento with the downtown area.,<Fact_No_Appeal>The Tower Bridge spans the Sacramento River and links West Sacramento with the downtown area.</Fact_No_Appeal>
"Since traveling on a basic-economy ticket precludes you from preselecting seats, it's usually a no-go for me.","<Fact_No_Appeal>Since traveling on a basic-economy ticket precludes you from preselecting seats, it's usually a no-go for me.</Fact_No_Appeal>"
She became the oldest U.S. woman to win a gold in Winter Games history.,<Fact_No_Appeal>She became the oldest U.S. woman to win a gold in Winter Games history.</Fact_No_Appeal>
"But give that guy the roads, bridges, infrastructure, power grid -- just have him fix that shit for four years.","But give that guy the roads, bridges, infrastructure, power grid -- just have him fix that shit for four years."
At least two explosions have been reported on a St. Petersburg metro subway.,<Fact_No_Appeal>At least two explosions have been reported on a St. Petersburg metro subway.</Fact_No_Appeal>
The Cavaliers managed to close the gap to 78-65 by the end of the third but couldn't make up enough ground in the fourth.,<Fact_No_Appeal>The Cavaliers managed to close the gap to 78-65 by the end of the third but couldn't make up enough ground in the fourth.</Fact_No_Appeal>
"""The matrix in the matrix,"" Musk tweeted last month","<Fact_Appeal:Direct_Quote>""The matrix in the matrix,""</Fact_Appeal:Direct_Quote> <Source:Named:Active_Participant>Musk</Source:Named:Active_Participant> tweeted <Appeal_Time>last month</Appeal_Time>"
Haley Jones grabbed a rebound and scored on a jumper with 32 seconds left and the Cardinal hung on for a 66-65 victory over South Carolina on Friday night in a do-over of the 2017 Final Four.,<Fact_No_Appeal>Haley Jones grabbed a rebound and scored on a jumper with 32 seconds left and the Cardinal hung on for a 66-65 victory over South Carolina on Friday night in a do-over of the 2017 Final Four.</Fact_No_Appeal>
"Meanwhile, a cage unit is not much cheaper: around £300 a month, according to James Law.","Meanwhile, <Fact_Appeal:Indirect_Quote>a cage unit is not much cheaper: around £300 a month,</Fact_Appeal:Indirect_Quote> according to <Source:Named:null>James Law</Source:Named:null>."
"Dad would always say to go with that feeling in your gut, that deep sense of right and wrong, Conaboy said.","Dad would always say to go with that feeling in your gut, that deep sense of right and wrong, Conaboy said."
"""Once we tell her this, the celebrity status is going to blow her mind,"" Tucker's granddaughter Angela Strozier said.","<Fact_Appeal:Direct_Quote>""Once we tell her this, the celebrity status is going to blow her mind,""</Fact_Appeal:Direct_Quote> <Source_Attribute>Tucker's granddaughter</Source_Attribute> <Source:Named:null>Angela Strozier</Source:Named:null> said."
Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading.,Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading.
Nine starters are under contract for next season.,<Fact_No_Appeal>Nine starters are under contract for next season.</Fact_No_Appeal>
"Murphy signed an executive order allowing personal care service facilities such as barber shops and nail salons to open on June 22, provided they comply with health and safety requirements.","<Fact_No_Appeal>Murphy signed an executive order allowing personal care service facilities such as barber shops and nail salons to open on June 22, provided they comply with health and safety requirements.</Fact_No_Appeal>"
"India's rice exports in 2020 may rise by nearly 42% from a year ago to record highs of 14 million tonnes, the Rice Exporters Association estimates.","<Fact_Appeal:Indirect_Quote>India's rice exports in 2020 may rise by nearly 42% from a year ago to record highs of 14 million tonnes,</Fact_Appeal:Indirect_Quote> the <Source:Named:Expert>Rice Exporters Association</Source:Named:Expert> estimates."
"""I feel a new, closer connection to all of their stories now,"" she says.","""I feel a new, closer connection to all of their stories now,"" she says."
"Back in 2020, Grohl revealed the freaky stuff that happened during their sessions.","<Fact_No_Appeal>Back in 2020, Grohl revealed the freaky stuff that happened during their sessions.</Fact_No_Appeal>"
"These developments confirm Infowars.com reporting that President Trump has not decided to ignore criminal allegations that continue to unfold against former Secretary of State Hillary Clinton and top Obama administration officials, including Lois Lerner.","<Fact_Appeal:Indirect_Quote>These developments confirm </Fact_Appeal:Indirect_Quote><Source:Named:News_Report>Infowars.com</Source:Named:News_Report> reporting that <Fact_Appeal:Indirect_Quote>President Trump has not decided to ignore criminal allegations that continue to unfold against former Secretary of State Hillary Clinton and top Obama administration officials, including Lois Lerner.</Fact_Appeal:Indirect_Quote>"
"TRUMP : I was surprised by his answer actually, because it's just to me, it's not an acceptable answer.","<Fact_No_Appeal>TRUMP : I was surprised by his answer actually, because it's just to me, it's not an acceptable answer.</Fact_No_Appeal>"
No one applauded when Chris Rock inexplicably ushered you out for the Academy Awards in 2016.,<Fact_No_Appeal>No one applauded when Chris Rock inexplicably ushered you out for the Academy Awards in 2016.</Fact_No_Appeal>
"In November 2016, when the work was first announced, Mr. Koons told The New York Times, ""I hope that the 'Bouquet of Tulips' can communicate a sense of future, of optimism, the joy of offering, to find something greater outside the self.""","<Fact_No_Appeal>In November 2016, when the work was first announced, Mr. Koons told The New York Times, ""I hope that the 'Bouquet of Tulips' can communicate a sense of future, of optimism, the joy of offering, to find something greater outside the self.""</Fact_No_Appeal>"
In case Shiba Inu declines below the support at $0.,In case Shiba Inu declines below the support at $0.
"Recall Univision senior anchor Jorge Ramos' telling characterization of Hispanic Trump voters, in a November 2018 interview with Spain's El Intermedio: There are people that feel totally identified with this country, that believe the same things that Donald Trump believes.","Recall <Source_Attribute>Univision senior anchor</Source_Attribute> <Source:Named:Expert>Jorge Ramos</Source:Named:Expert>' telling characterization of <Fact_Appeal:Indirect_Quote>Hispanic Trump voters, in a November 2018 interview with Spain's El Intermedio: There are people that feel totally identified with this country, that believe the same things that Donald Trump believes.</Fact_Appeal:Indirect_Quote>"
"While it's not clear when the stories about the cemetery being haunted began, there are gravestones that date back to the 1860s.","<Fact_No_Appeal>While it's not clear when the stories about the cemetery being haunted began, there are gravestones that date back to the 1860s.</Fact_No_Appeal>"
Ant McPartlin and Declan Donnelly held an emergency meeting with ITV bosses over the future of their hit primetime show Saturday Night Takeaway.,<Fact_No_Appeal>Ant McPartlin and Declan Donnelly held an emergency meeting with ITV bosses over the future of their hit primetime show Saturday Night Takeaway.</Fact_No_Appeal>
"And on a separate dispute between himself and Ms Rayner (see 9.15am) , he insisted they had arrived at a ""strong package"" of internal electoral reforms which entailed a ""tough decision""","And on a separate dispute between himself and Ms Rayner (see 9.15am) , <Source:Unnamed:Active_Participant>he</Source:Unnamed:Active_Participant> insisted <Fact_Appeal:Direct_Quote>they had arrived at a ""strong package"" of internal electoral reforms which entailed a ""tough decision""</Fact_Appeal:Direct_Quote>"
"Edwards sometimes struggled with having been adopted, especially because his biological parents lived nearby, as did his biological siblings.","<Fact_No_Appeal>Edwards sometimes struggled with having been adopted, especially because his biological parents lived nearby, as did his biological siblings.</Fact_No_Appeal>"
Russian President Vladimir Putin and U.S. President Joe Biden are to hold a high-stakes telephone call on Saturday as tensions over a possibility imminent invasion of Ukraine escalated sharply and the U.S. announced plans to evacuate its embassy in the Ukrainian capital.,<Fact_No_Appeal>Russian President Vladimir Putin and U.S. President Joe Biden are to hold a high-stakes telephone call on Saturday as tensions over a possibility imminent invasion of Ukraine escalated sharply and the U.S. announced plans to evacuate its embassy in the Ukrainian capital.</Fact_No_Appeal>
Temperature steady or slowly rising after midnight.,<Fact_No_Appeal>Temperature steady or slowly rising after midnight.</Fact_No_Appeal>
South Shore was also hit hard by the foreclosure crisis and has since been flooded with low-income renters with subsidy vouchers.,<Fact_No_Appeal>South Shore was also hit hard by the foreclosure crisis and has since been flooded with low-income renters with subsidy vouchers.</Fact_No_Appeal>
"In this scenario, you may end up seeking permission from a leftist official who supports the ban on the non-lethal tool.","<Fact_No_Appeal>In this scenario, you may end up seeking permission from a leftist official who supports the ban on the non-lethal tool.</Fact_No_Appeal>"
Tiger Global also led its previous $160 million funding round in September 2020 alongside Temasek Holdings.,<Fact_No_Appeal>Tiger Global also led its previous $160 million funding round in September 2020 alongside Temasek Holdings.</Fact_No_Appeal>
"In his ""SPECIAL REPORT,"" the one in which he pulled a Maddow, Colbert began to tell his joke: ""Why did the chicken -- but first, a word about chickens!"" ","<Fact_No_Appeal>In his ""SPECIAL REPORT,"" the one in which he pulled a Maddow, Colbert began to tell his joke: ""Why did the chicken -- but first, a word about chickens!"" </Fact_No_Appeal>"
"A spokesman for McConnell said in response to the tweet that the Senate Republican Conference does not support changing the 60-vote rule, a reiteration of Republican Senate leadership's already-stated opposition to the move Trump has called for over the past year.","<Source:Unnamed:Official>A spokesman for McConnell</Source:Unnamed:Official> said in response to the tweet that <Fact_Appeal:Indirect_Quote>the Senate Republican Conference does not support changing the 60-vote rule,</Fact_Appeal:Indirect_Quote> a reiteration of Republican Senate leadership's already-stated opposition to the move Trump has called for over the past year."
Lee who said she understands the frustration of the protesters but she said it's important to deal with the situation with level heads.,Lee who said she understands the frustration of the protesters but she said it's important to deal with the situation with level heads.
"When Congress first considered the repeal-and-delay effort in January, I spoke with half a dozen experts from both sides of the aisle about the expected effects.","<Fact_No_Appeal>When Congress first considered the repeal-and-delay effort in January, I spoke with half a dozen experts from both sides of the aisle about the expected effects.</Fact_No_Appeal>"
"FEMA officials told the auditors that ""the physical fitness of staff could be assessed"" before future deployments.","<Source:Named:Official>FEMA officials</Source:Named:Official> told <Recipient>the auditors</Recipient> that <Fact_Appeal:Direct_Quote>""the physical fitness of staff could be assessed"" before future deployments.</Fact_Appeal:Direct_Quote>"
"""Fanfare for the Common Man"" has also been an inspiration to other composers, including Joan Tower, who started writing what became a series of fanfares in 1986.","""Fanfare for the Common Man"" has also been an inspiration to other composers, including Joan Tower, who started writing what became a series of fanfares in 1986."
"But after being furloughed in March 2020, she took stock of the toll that the long hours and late nights had taken on her.","<Fact_No_Appeal>But after being furloughed in March 2020, she took stock of the toll that the long hours and late nights had taken on her.</Fact_No_Appeal>"
